+--------------------+----------------------------------------+-------------------------------------------------------------+--------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
| Domain             | Method                                 | URI                                                         | Name                                             | Action                                                                       | Middleware                                                                                                               |
| merchant.localhost | POST                                   | bookings/book                                               | admin2.bookings.book                             | App\Http\Controllers\TAdmin\BookingsController@book                          | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | POST                                   | bookings/book                                               | admin.bookings.book                              | App\Http\Controllers\Admin\BookingsController@book                           | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| admin.localhost    | POST                                   | bookings/cancel/{truckBooking}                              | admin.bookings.cancel                            | App\Http\Controllers\Admin\BookingsController@cancel                         | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| admin.localhost    | POST                                   | bookings/change-status/{booking}                            | admin.bookings.change-status                     | App\Http\Controllers\Admin\BookingsController@changeStatus                   | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| merchant.localhost | GET|HEAD                               | bookings/create                                             | admin2.bookings.create                           | App\Http\Controllers\TAdmin\BookingsController@create                        | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | GET|HEAD                               | bookings/create                                             | admin.bookings.create                            | App\Http\Controllers\Admin\BookingsController@create                         | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| admin.localhost    | GET|HEAD                               | bookings/driver-price-offers                                | admin.bookings.driverPriceOffers                 | App\Http\Controllers\Admin\BookingsController@driverBookingOffers            | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| admin.localhost    | GET|HEAD                               | bookings/driver-price-offers/show/{driverOffer}             | admin.bookings.showDriverOffer                   | App\Http\Controllers\Admin\BookingsController@showDriverOffer                | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| admin.localhost    | POST                                   | bookings/driver/{truckBooking}                              | admin.bookings.change-state                      | App\Http\Controllers\Admin\BookingsController@changeState                    | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| merchant.localhost | POST                                   | bookings/driver/{truckBooking}                              | admin2.bookings.change-state                     | App\Http\Controllers\TAdmin\BookingsController@changeState                   | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | POST                                   | bookings/editPrice/{truckBooking}                           | admin.bookings.editPrice                         | App\Http\Controllers\Admin\BookingsController@editPrice                      | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| admin.localhost    | GET|HEAD                               | bookings/export                                             | admin.bookings.export                            | App\Http\Controllers\Admin\BookingsController@export                         | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| merchant.localhost | GET|HEAD                               | bookings/export                                             | admin2.bookings.export                           | App\Http\Controllers\TAdmin\BookingsController@export                        | web,auth,role:merchant,active,merchantCompany                                                                            |
| merchant.localhost | GET|HEAD                               | bookings/show-user/{booking}                                | admin2.bookings.show-user                        | App\Http\Controllers\TAdmin\BookingsController@showUser                      | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | GET|HEAD                               | bookings/show/{booking}                                     | admin.bookings.show                              | App\Http\Controllers\Admin\BookingsController@show                           | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| merchant.localhost | GET|HEAD                               | bookings/show/{booking}                                     | admin2.bookings.show                             | App\Http\Controllers\TAdmin\BookingsController@show                          | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | GET|HEAD                               | bookings/statistics/bookingsByDrivers                       | admin.bookings.bookings-by-drivers               | App\Http\Controllers\Admin\BookingsController@bookingsByDrivers              | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| admin.localhost    | GET|HEAD                               | bookings/statistics/export/year                             | admin.bookings.statistics-yearly                 | App\Http\Controllers\Admin\BookingsController@yearlyStatistics               | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| admin.localhost    | POST                                   | bookings/store                                              | admin.bookings.store                             | App\Http\Controllers\Admin\BookingsController@store                          | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| merchant.localhost | POST                                   | bookings/store                                              | admin2.bookings.store                            | App\Http\Controllers\TAdmin\BookingsController@store                         | web,auth,role:merchant,active,merchantCompany                                                                            |
|                    | GET|POST|HEAD                          | broadcasting/auth                                           |                                                  | Illuminate\Broadcasting\BroadcastController@authenticate                     | web                                                                                                                      |
| admin.localhost    | GET|HEAD                               | cancel-reasons                                              | admin.cancel-reasons.index                       | App\Http\Controllers\Admin\CancelReasonsController@index                     | web,auth,role:admin,active,checkPermission:cancel_reasons                                                                |
| admin.localhost    | GET|HEAD                               | cancel-reasons/create                                       | admin.cancel-reasons.create                      | App\Http\Controllers\Admin\CancelReasonsController@create                    | web,auth,role:admin,active,checkPermission:cancel_reasons                                                                |
| admin.localhost    | DELETE                                 | cancel-reasons/destroy/{cancelReason}                       | admin.cancel-reasons.destroy                     | App\Http\Controllers\Admin\CancelReasonsController@destroy                   | web,auth,role:admin,active,checkPermission:cancel_reasons                                                                |
| admin.localhost    | GET|HEAD                               | cancel-reasons/edit/{cancelReason}                          | admin.cancel-reasons.edit                        | App\Http\Controllers\Admin\CancelReasonsController@edit                      | web,auth,role:admin,active,checkPermission:cancel_reasons                                                                |
| admin.localhost    | POST                                   | cancel-reasons/store                                        | admin.cancel-reasons.store                       | App\Http\Controllers\Admin\CancelReasonsController@store                     | web,auth,role:admin,active,checkPermission:cancel_reasons                                                                |
| admin.localhost    | PUT                                    | cancel-reasons/update/{cancelReason}                        | admin.cancel-reasons.update                      | App\Http\Controllers\Admin\CancelReasonsController@update                    | web,auth,role:admin,active,checkPermission:cancel_reasons                                                                |
| api.localhost      | GET|HEAD                               | car-booking                                                 | api.car-booking.orders                           | App\Http\Controllers\Api\TcarBookingController@orders                        | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | POST                                   | car-booking/book                                            | api.car-booking.book                             | App\Http\Controllers\Api\TcarBookingController@book                          | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | car-booking/client                                          | api.car-booking.clientOrders                     | App\Http\Controllers\Api\TcarBookingController@clientOrders                  | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | car-booking/details/{tcarBooking}                           | api.car-booking.details                          | App\Http\Controllers\Api\TcarBookingController@getOrder                      | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | car-booking/messages/{tcarBooking}                          | api.car-booking.messages                         | App\Http\Controllers\Api\TcarBookingController@messages                      | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | POST                                   | car-booking/messages/{tcarBooking}                          | api.car-booking.message                          | App\Http\Controllers\Api\TcarBookingController@sendMessage                   | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | GET|HEAD                               | car-booking/orders                                          | api.car-booking.getBookingsInOrder               | App\Http\Controllers\Api\TcarBookingController@getBookingsInOrder            | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | PUT                                    | car-booking/review/{tcarBooking}                            | api.car-booking.review                           | App\Http\Controllers\Api\TcarBookingController@leaveReview                   | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | PUT                                    | car-booking/status/{tcarBooking}                            | api.car-booking.changeState                      | App\Http\Controllers\Api\TcarBookingController@changeState                   | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| admin.localhost    | GET|HEAD                               | car-types                                                   | admin.car-types.index                            | App\Http\Controllers\Admin\CarTypesController@index                          | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | GET|HEAD                               | car-types/create                                            | admin.car-types.create                           | App\Http\Controllers\Admin\CarTypesController@create                         | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | DELETE                                 | car-types/destroy/{carType}                                 | admin.car-types.destroy                          | App\Http\Controllers\Admin\CarTypesController@destroy                        | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | GET|HEAD                               | car-types/edit/{carType}                                    | admin.car-types.edit                             | App\Http\Controllers\Admin\CarTypesController@edit                           | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | GET|HEAD                               | car-types/rates/edit/{carType}                              | admin.car-types.rates.edit                       | App\Http\Controllers\Admin\CarTypeRatesController@edit                       | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | POST                                   | car-types/rates/update/{carType}                            | admin.car-types.rates.update                     | App\Http\Controllers\Admin\CarTypeRatesController@update                     | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | GET|HEAD                               | car-types/restrictions/{carType}                            | admin.car-types.restrictions                     | App\Http\Controllers\Admin\CarTypesController@showRestrictions               | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | GET|HEAD                               | car-types/serving_prices                                    | admin.car-types.servingPrices                    | App\Http\Controllers\Admin\CarTypesController@servingPrices                  | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | POST                                   | car-types/store                                             | admin.car-types.store                            | App\Http\Controllers\Admin\CarTypesController@store                          | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | PUT                                    | car-types/update/{carType}                                  | admin.car-types.update                           | App\Http\Controllers\Admin\CarTypesController@update                         | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | PUT                                    | car-types/updateRestrictions/{carType}                      | admin.car-types.updateRestrictions               | App\Http\Controllers\Admin\CarTypesController@updateRestriction              | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | PUT                                    | car-types/update_serving_prices                             | admin.car-types.updateServingPrices              | App\Http\Controllers\Admin\CarTypesController@updateServingPrices            | web,auth,role:admin,active,checkPermission:car-types                                                                     |
| admin.localhost    | GET|HEAD                               | cargo-types                                                 | admin.cargo-types.index                          | App\Http\Controllers\Admin\CargoTypesController@index                        | web,auth,role:admin,active,checkPermission:cargo-types                                                                   |
| admin.localhost    | GET|HEAD                               | cargo-types/create                                          | admin.cargo-types.create                         | App\Http\Controllers\Admin\CargoTypesController@create                       | web,auth,role:admin,active,checkPermission:cargo-types                                                                   |
| admin.localhost    | DELETE                                 | cargo-types/destroy/{cargoType}                             | admin.cargo-types.destroy                        | App\Http\Controllers\Admin\CargoTypesController@destroy                      | web,auth,role:admin,active,checkPermission:cargo-types                                                                   |
| admin.localhost    | GET|HEAD                               | cargo-types/edit/{cargoType}                                | admin.cargo-types.edit                           | App\Http\Controllers\Admin\CargoTypesController@edit                         | web,auth,role:admin,active,checkPermission:cargo-types                                                                   |
| admin.localhost    | POST                                   | cargo-types/store                                           | admin.cargo-types.store                          | App\Http\Controllers\Admin\CargoTypesController@store                        | web,auth,role:admin,active,checkPermission:cargo-types                                                                   |
| admin.localhost    | PUT                                    | cargo-types/update/{cargoType}                              | admin.cargo-types.update                         | App\Http\Controllers\Admin\CargoTypesController@update                       | web,auth,role:admin,active,checkPermission:cargo-types                                                                   |
| admin.localhost    | GET|HEAD                               | cars                                                        | admin.cars.index                                 | App\Http\Controllers\Admin\CarsController@index                              | web,auth,role:admin,active,checkPermission:cars                                                                          |
| merchant.localhost | GET|HEAD                               | cars                                                        | admin2.cars.index                                | App\Http\Controllers\TAdmin\CarsController@index                             | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | GET|HEAD                               | cars/create                                                 | admin.cars.create                                | App\Http\Controllers\Admin\CarsController@create                             | web,auth,role:admin,active,checkPermission:cars                                                                          |
| merchant.localhost | GET|HEAD                               | cars/create                                                 | admin2.cars.create                               | App\Http\Controllers\TAdmin\CarsController@create                            | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | DELETE                                 | cars/destroy/{car}                                          | admin.cars.destroy                               | App\Http\Controllers\Admin\CarsController@destroy                            | web,auth,role:admin,active,checkPermission:cars                                                                          |
| merchant.localhost | DELETE                                 | cars/destroy/{car}                                          | admin2.cars.destroy                              | App\Http\Controllers\TAdmin\CarsController@destroy                           | web,auth,role:merchant,active,merchantCompany                                                                            |
